taxa_id;W;detected_0.9;detected_0.8;detected_0.7;detected_0.6
Otu0001;0;FALSE;FALSE;FALSE;FALSE
Otu0002;0;FALSE;FALSE;FALSE;FALSE
Otu0003;0;FALSE;FALSE;FALSE;FALSE
Otu0004;0;FALSE;FALSE;FALSE;FALSE
Otu0005;0;FALSE;FALSE;FALSE;FALSE
Otu0006;0;FALSE;FALSE;FALSE;FALSE
Otu0007;0;FALSE;FALSE;FALSE;FALSE
Otu0008;0;FALSE;FALSE;FALSE;FALSE
Otu0009;0;FALSE;FALSE;FALSE;FALSE
Otu0010;0;FALSE;FALSE;FALSE;FALSE
Otu0011;0;FALSE;FALSE;FALSE;FALSE
Otu0012;0;FALSE;FALSE;FALSE;FALSE
Otu0013;0;FALSE;FALSE;FALSE;FALSE
Otu0014;0;FALSE;FALSE;FALSE;FALSE
Otu0015;0;FALSE;FALSE;FALSE;FALSE
Otu0016;0;FALSE;FALSE;FALSE;FALSE
Otu0017;0;FALSE;FALSE;FALSE;FALSE
Otu0018;0;FALSE;FALSE;FALSE;FALSE
Otu0019;0;FALSE;FALSE;FALSE;FALSE
Otu0020;0;FALSE;FALSE;FALSE;FALSE
Otu0021;0;FALSE;FALSE;FALSE;FALSE
Otu0022;0;FALSE;FALSE;FALSE;FALSE
Otu0023;Inf;TRUE;TRUE;TRUE;TRUE
Otu0024;0;FALSE;FALSE;FALSE;FALSE
Otu0026;0;FALSE;FALSE;FALSE;FALSE
Otu0027;0;FALSE;FALSE;FALSE;FALSE
Otu0028;0;FALSE;FALSE;FALSE;FALSE
Otu0029;0;FALSE;FALSE;FALSE;FALSE
Otu0030;0;FALSE;FALSE;FALSE;FALSE
Otu0031;0;FALSE;FALSE;FALSE;FALSE
Otu0032;0;FALSE;FALSE;FALSE;FALSE
Otu0033;0;FALSE;FALSE;FALSE;FALSE
Otu0034;0;FALSE;FALSE;FALSE;FALSE
Otu0035;0;FALSE;FALSE;FALSE;FALSE
Otu0036;0;FALSE;FALSE;FALSE;FALSE
Otu0037;0;FALSE;FALSE;FALSE;FALSE
Otu0038;0;FALSE;FALSE;FALSE;FALSE
Otu0039;0;FALSE;FALSE;FALSE;FALSE
Otu0040;0;FALSE;FALSE;FALSE;FALSE
Otu0041;0;FALSE;FALSE;FALSE;FALSE
Otu0042;0;FALSE;FALSE;FALSE;FALSE
Otu0043;0;FALSE;FALSE;FALSE;FALSE
Otu0044;0;FALSE;FALSE;FALSE;FALSE
Otu0045;0;FALSE;FALSE;FALSE;FALSE
Otu0046;0;FALSE;FALSE;FALSE;FALSE
Otu0048;0;FALSE;FALSE;FALSE;FALSE
Otu0049;0;FALSE;FALSE;FALSE;FALSE
Otu0050;0;FALSE;FALSE;FALSE;FALSE
Otu0051;0;FALSE;FALSE;FALSE;FALSE
Otu0052;0;FALSE;FALSE;FALSE;FALSE
Otu0053;0;FALSE;FALSE;FALSE;FALSE
Otu0054;0;FALSE;FALSE;FALSE;FALSE
Otu0055;0;FALSE;FALSE;FALSE;FALSE
Otu0056;0;FALSE;FALSE;FALSE;FALSE
